,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
14,frozenset({'herb & pepper'}),frozenset({'ground beef'}),0.04946007199040128,0.09825356619117451,0.015997866951073192,0.3234501347708895,3.2919938411349285,0.011138238493944044,1.3328602667054752,0.7324602618045816
56,"frozenset({'mineral water', 'ground beef'})",frozenset({'spaghetti'}),0.040927876283162246,0.17411011865084655,0.017064391414478068,0.41693811074918563,2.3946805273580716,0.009938434018689522,1.416470355163073,0.6072616937725882
51,"frozenset({'mineral water', 'frozen vegetables'})",frozenset({'milk'}),0.03572856952406346,0.12958272230369283,0.011065191307825623,0.3097014925373134,2.3899906332534853,0.006435386004880725,1.2609288130951908,0.6031375606115877
22,frozenset({'soup'}),frozenset({'milk'}),0.05052659645380616,0.12958272230369283,0.015197973603519531,0.3007915567282322,2.3212319619531585,0.008650599686295217,1.2448609367807564,0.5994841780103165
16,frozenset({'ground beef'}),frozenset({'spaghetti'}),0.09825356619117451,0.17411011865084655,0.03919477403012932,0.3989145183175034,2.291162176033379,0.022087833962715117,1.3739973872558149,0.6249431765609852
60,"frozenset({'olive oil', 'mineral water'})",frozenset({'spaghetti'}),0.027596320490601255,0.17411011865084655,0.010265297960271964,0.3719806763285024,2.13646788142427,0.005460499325326592,1.3150708110713443,0.5470338545468789
45,"frozenset({'eggs', 'ground beef'})",frozenset({'mineral water'}),0.019997333688841486,0.23836821757099053,0.010131982402346354,0.5066666666666667,2.125563012677107,0.005365253614764888,1.5438482076263709,0.5403418081320838
54,"frozenset({'milk', 'ground beef'})",frozenset({'mineral water'}),0.021997067057725635,0.23836821757099053,0.011065191307825623,0.503030303030303,2.1103077757440176,0.00582178964148601,1.5325517573266656,0.537969216013454
34,frozenset({'red wine'}),frozenset({'spaghetti'}),0.028129582722303693,0.17411011865084655,0.010265297960271964,0.36492890995260663,2.095966120638976,0.005367652974892865,1.3004683952587415,0.5380275417312455
33,frozenset({'olive oil'}),frozenset({'spaghetti'}),0.0658578856152513,0.17411011865084655,0.022930275963204905,0.3481781376518219,1.999758201015556,0.01146375168463962,1.267048451510813,0.5351857444880701
39,"frozenset({'chocolate', 'ground beef'})",frozenset({'mineral water'}),0.023063591521130515,0.23836821757099053,0.010931875749900012,0.47398843930635837,1.988471634920019,0.005434248548222722,1.4479373446177872,0.508836803706465
50,"frozenset({'milk', 'frozen vegetables'})",frozenset({'mineral water'}),0.023596853752832957,0.23836821757099053,0.011065191307825623,0.46892655367231634,1.9672360621342533,0.0054404513384794925,1.434136441382284,0.5035549077796714
42,"frozenset({'milk', 'chocolate'})",frozenset({'spaghetti'}),0.03212904946007199,0.17411011865084655,0.010931875749900012,0.34024896265560167,1.954217051209547,0.005337883136267961,1.2518205119820502,0.5044950614795404
62,"frozenset({'pancakes', 'mineral water'})",frozenset({'spaghetti'}),0.03372883615517931,0.17411011865084655,0.011465137981602452,0.33992094861660077,1.9523331053392974,0.0055926063166692195,1.2511984430020109,0.5048192925714872
53,"frozenset({'mineral water', 'frozen vegetables'})",frozenset({'spaghetti'}),0.03572856952406346,0.17411011865084655,0.011998400213304892,0.33582089552238803,1.9287844849260587,0.005777694734245183,1.2434746528178264,0.4993809238520976
28,frozenset({'soup'}),frozenset({'mineral water'}),0.05052659645380616,0.23836821757099053,0.023063591521130515,0.45646437994722955,1.9149548735929356,0.01101965678450801,1.4012545900028865,0.5032205021321218
61,"frozenset({'spaghetti', 'pancakes'})",frozenset({'mineral water'}),0.025196640447940274,0.23836821757099053,0.011465137981602452,0.455026455026455,1.908922505119373,0.005459059709249805,1.3975573483406096,0.4884516055162587
18,frozenset({'herb & pepper'}),frozenset({'spaghetti'}),0.04946007199040128,0.17411011865084655,0.01626449806692441,0.32884097035040427,1.8886953434903389,0.007652999064196229,1.2305427549419112,0.4950175890373162
58,"frozenset({'milk', 'mineral water'})",frozenset({'spaghetti'}),0.04799360085321957,0.17411011865084655,0.01573123583522197,0.3277777777777778,1.882588905904373,0.007375064296186541,1.2285965177094844,0.4924510881303716
41,"frozenset({'spaghetti', 'milk'})",frozenset({'chocolate'}),0.03546193840821224,0.1638448206905746,0.010931875749900012,0.3082706766917293,1.8814795328435,0.005121620810066277,1.2087895526973216,0.48572825189205576
